name,medal_type,medal_date,gender,birth_date,country,discipline,event
SJOESTROEM Sarah,OURO,2024-07-31,FEMININO,1993-08-17,Sweden,Swimming,Women's 100m Freestyle
HUSKE Torri,PRATA,2024-07-31,FEMININO,2002-12-07,United States,Swimming,Women's 100m Freestyle
HAUGHEY Siobhan Bernadette,BRONZE,2024-07-31,FEMININO,1997-10-31,Hong Kong,Swimming,Women's 100m Freestyle
LEDECKY Katie,OURO,2024-07-31,FEMININO,1997-03-17,United States,Swimming,Women's 1500m Freestyle
KIRPICHNIKOVA Anastasiia,PRATA,2024-07-31,FEMININO,2000-06-24,France,Swimming,Women's 1500m Freestyle
GOSE Isabel,BRONZE,2024-07-31,FEMININO,2002-05-09,Germany,Swimming,Women's 1500m Freestyle
YEE Alex,OURO,2024-07-31,MASCULINO,1998-02-18,Great Britain,Triathlon,Men's Individual
WILDE Hayden,PRATA,2024-07-31,MASCULINO,1997-09-01,New Zealand,Triathlon,Men's Individual
BERGERE Leo,BRONZE,2024-07-31,MASCULINO,1996-06-28,France,Triathlon,Men's Individual
BEAUGRAND Cassandre,OURO,2024-07-31,FEMININO,1997-05-23,France,Triathlon,Women's Individual
DERRON Julie,PRATA,2024-07-31,FEMININO,1996-09-10,Switzerland,Triathlon,Women's Individual
POTTER Beth,BRONZE,2024-07-31,FEMININO,1991-12-27,Great Britain,Triathlon,Women's Individual
BILES Simone,OURO,2024-08-01,FEMININO,1997-03-14,United States,Artistic Gymnastics,Women's All-Around
ANDRADE Rebeca,PRATA,2024-08-01,FEMININO,1999-05-08,Brazil,Artistic Gymnastics,Women's All-Around
LEE Sunisa,BRONZE,2024-08-01,FEMININO,2003-03-09,United States,Artistic Gymnastics,Women's All-Around
PINTADO Brian Daniel,OURO,2024-08-01,MASCULINO,1995-07-29,Ecuador,Athletics,Men's 20km Race Walk
BONFIM Caio,PRATA,2024-08-01,MASCULINO,1991-03-19,Brazil,Athletics,Men's 20km Race Walk
MARTIN Alvaro,BRONZE,2024-08-01,MASCULINO,1994-06-18,Spain,Athletics,Men's 20km Race Walk
YANG Jiayu,OURO,2024-08-01,FEMININO,1996-02-18,China,Athletics,Women's 20km Race Walk
PEREZ Maria,PRATA,2024-08-01,FEMININO,1996-04-29,Spain,Athletics,Women's 20km Race Walk
MONTAG Jemima,BRONZE,2024-08-01,FEMININO,1998-02-15,Australia,Athletics,Women's 20km Race Walk
de GENNARO Giovanni,OURO,2024-08-01,MASCULINO,1992-07-21,Italy,Canoe Slalom,Men's Kayak Single
CASTRYCK Titouan,PRATA,2024-08-01,MASCULINO,2004-08-28,France,Canoe Slalom,Men's Kayak Single
ECHANIZ Pau,BRONZE,2024-08-01,MASCULINO,2001-05-29,Spain,Canoe Slalom,Men's Kayak Single
KOTSOIEV Zelym,OURO,2024-08-01,MASCULINO,1998-08-09,Azerbaijan,Judo,Men -100 kg
SULAMANIDZE Ilia,PRATA,2024-08-01,MASCULINO,2001-06-18,Georgia,Judo,Men -100 kg
PALTCHIK Peter,BRONZE,2024-08-01,MASCULINO,1992-01-04,Israel,Judo,Men -100 kg
TUROBOYEV Muzaffarbek,BRONZE,2024-08-01,MASCULINO,2000-04-05,Uzbekistan,Judo,Men -100 kg
BELLANDI Alice,OURO,2024-08-01,FEMININO,1998-11-20,Italy,Judo,Women -78 kg
LANIR Inbar,PRATA,2024-08-01,FEMININO,2000-04-03,Israel,Judo,Women -78 kg
MA Zhenzhao,BRONZE,2024-08-01,FEMININO,1998-04-24,China,Judo,Women -78 kg
SAMPAIO Patricia,BRONZE,2024-08-01,FEMININO,1999-06-30,Portugal,Judo,Women -78 kg
LIU Yukun,OURO,2024-08-01,MASCULINO,1997-04-12,China,Shooting,50m Rifle 3 Positions Men
KULISH Serhiy,PRATA,2024-08-01,MASCULINO,1993-04-17,Ukraine,Shooting,50m Rifle 3 Positions Men
KUSALE Swapnil,BRONZE,2024-08-01,MASCULINO,1995-08-06,India,Shooting,50m Rifle 3 Positions Men
KOS Hubert,OURO,2024-08-01,MASCULINO,2003-03-28,Hungary,Swimming,Men's 200m Backstroke
CHRISTOU Apostolos,PRATA,2024-08-01,MASCULINO,1996-11-01,Greece,Swimming,Men's 200m Backstroke
MITYUKOV Roman,BRONZE,2024-08-01,MASCULINO,2000-07-30,Switzerland,Swimming,Men's 200m Backstroke
DOUGLASS Kate,OURO,2024-08-01,FEMININO,2001-11-17,United States,Swimming,Women's 200m Breaststroke
SMITH Tatjana,PRATA,2024-08-01,FEMININO,1997-07-09,South Africa,Swimming,Women's 200m Breaststroke
SCHOUTEN Tes,BRONZE,2024-08-01,FEMININO,2000-12-31,Netherlands,Swimming,Women's 200m Breaststroke
McINTOSH Summer,OURO,2024-08-01,FEMININO,2006-08-18,Canada,Swimming,Women's 200m Butterfly
SMITH Regan,PRATA,2024-08-01,FEMININO,2002-02-09,United States,Swimming,Women's 200m Butterfly
ZHANG Yufei,BRONZE,2024-08-01,FEMININO,1998-04-19,China,Swimming,Women's 200m Butterfly
CHEPTEGEI Joshua,OURO,2024-08-02,MASCULINO,1996-09-12,Uganda,Athletics,Men's 10.000m
AREGAWI Berihu,PRATA,2024-08-02,MASCULINO,2001-02-28,Ethiopia,Athletics,Men's 10.000m
FISHER Grant,BRONZE,2024-08-02,MASCULINO,1997-04-22,United States,Athletics,Men's 10.000m
DAUDET Joris,OURO,2024-08-02,MASCULINO,1991-02-12,France,Cycling BMX Racing,Men
ANDRE Sylvain,PRATA,2024-08-02,MASCULINO,1992-10-14,France,Cycling BMX Racing,Men
MAHIEU Romain,BRONZE,2024-08-02,MASCULINO,1995-02-17,France,Cycling BMX Racing,Men
SAKAKIBARA Saya,OURO,2024-08-02,FEMININO,1999-08-23,Australia,Cycling BMX Racing,Women
VEENSTRA Manon,PRATA,2024-08-02,FEMININO,1998-07-06,Netherlands,Cycling BMX Racing,Women
CLAESSENS Zoe,BRONZE,2024-08-02,FEMININO,2001-04-28,Switzerland,Cycling BMX Racing,Women
RINER Teddy,OURO,2024-08-02,MASCULINO,1989-04-07,France,Judo,Men +100 kg
KIM Minjong,PRATA,2024-08-02,MASCULINO,2000-09-01,Korea,Judo,Men +100 kg
RAKHIMOV Temur,BRONZE,2024-08-02,MASCULINO,1997-07-08,Tajikistan,Judo,Men +100 kg
